Make,Year,Month,Quantity,Pct
Audi,293629,980,28691,265.91243232099987
BMW,255676,758,21915,190.29217146599996
Citroen,2012,11,129,1.076255632
Ford,494819,1524,57763,539.9077141989999
Honda,88402,281,8197,82.122684712
Hyundai,36222,111,2254,22.645490111999997
Kia,42291,128,2882,24.420960450999992
Mazda,161070,537,19235,168.38527510899996
Mercedes-Benz,122896,416,9336,76.42721166300001
Mitsubishi,211268,715,29118,252.45538614800003
Nissan,360250,1139,47229,416.589572342
Opel,116616,340,8990,86.84098338600005
Peugeot,263359,777,22356,213.12711307999993
Renault,30236,86,2580,19.349886977000004
Saab,10035,30,1025,10.0
Skoda,281680,928,36260,322.69955608
Subaru,18106,76,1713,15.755515056999997
Suzuki,68469,159,5431,46.33938962999999
Tesla,72537,253,11096,87.31926903900002
Toyota,981514,3146,133314,1205.308214986
Volkswagen,881060,2829,169434,1512.7617214920006
Volvo,583437,1868,70477,630.6370224609998
ï¿½Mercedes-Benz,2013,5,184,1.5318015319999998
